geometry_type,surface_area,volume,frontal_area,length,width,height,rear_wing_angle,slant_angle,velocity,reynolds,drag,lift
flat_plate,3.277,0.044,1.899,0.038,1.373,0.543,0.0,0.0,23.1,57902,1.24195,0.0004
fsae,7.334,1.345,1.348,4.19,1.384,1.269,36.1,4.1,25.79,7127975,0.99477,-3.09638
wedge,4.115,1.213,1.093,0.653,1.164,0.663,0.0,20.2,47.12,2029641,0.50644,0.14587
wedge,3.222,0.252,1.168,2.152,0.843,0.768,0.0,31.0,14.58,2069668,0.59349,0.18328
sphere,6.137,3.87,1.986,0.303,1.169,0.557,0.0,0.0,9.39,187676,0.43349,-0.01142
fsae,6.384,1.321,1.509,3.387,1.427,1.125,19.2,1.2,35.36,7900021,0.83902,-2.15856
fsae,6.8,1.403,1.241,4.424,1.44,1.262,25.6,1.7,45.15,13175699,0.90454,-2.45616
ahmed_body,4.213,0.605,0.091,1.108,0.351,0.314,0.0,12.7,32.28,2359251,0.25017,0.05622
sedan,8.998,3.147,1.961,4.207,1.837,1.375,1.0,19.4,36.83,10220568,0.29863,0.21667
ahmed_body,4.573,0.885,0.114,1.175,0.397,0.266,0.0,7.8,44.95,3483922,0.26012,0.03344
wedge,2.404,1.281,0.4,2.04,1.02,0.357,0.0,39.5,47.56,6399894,0.67582,0.23083
cylinder,4.482,2.06,0.344,1.863,0.236,0.39,0.0,0.0,9.83,1208001,0.30362,0.01416
fsae,5.711,0.822,1.103,3.953,1.693,1.059,35.0,1.7,26.91,7016836,0.95651,-2.81874
sphere,10.38,4.386,0.427,1.463,0.519,0.739,0.0,0.0,27.13,2618152,0.10287,0.00141
sedan,10.678,4.132,2.335,4.902,1.842,1.386,3.1,17.2,30.64,9907472,0.25121,0.19137
sphere,5.709,3.593,1.792,0.808,1.263,0.145,0.0,0.0,5.05,269156,0.46609,0.01195
sedan,8.095,3.327,2.144,4.822,1.831,1.415,1.0,10.9,40.86,12996499,0.25421,0.20992
ahmed_body,3.96,0.76,0.095,1.098,0.364,0.259,0.0,23.7,35.84,2595799,0.29158,0.09671
sphere,5.75,0.415,0.581,1.332,0.31,0.293,0.0,0.0,24.74,2173726,0.0966,0.00573
flat_plate,2.584,0.04,2.776,0.015,0.743,1.906,0.0,0.0,17.07,16890,1.21398,6e-05
sedan,8.329,2.978,1.94,4.075,1.844,1.41,4.6,16.2,40.34,10843371,0.2475,0.21268
sphere,3.433,3.801,0.113,0.931,0.535,0.67,0.0,0.0,13.14,806949,0.09984,-0.00349
flat_plate,1.6,0.031,2.58,0.021,0.921,1.314,0.0,0.0,18.88,26153,1.25748,-0.02418
wedge,4.055,0.35,0.945,2.393,0.378,0.331,0.0,42.4,20.73,3272222,0.73135,0.26667
sedan,10.444,4.077,2.302,4.842,1.649,1.438,4.3,14.8,21.12,6745583,0.24881,0.13959
ahmed_body,3.721,0.629,0.095,0.942,0.42,0.267,0.0,38.4,53.32,3313156,0.33798,0.12882
cylinder,7.865,1.586,0.696,1.23,0.868,0.922,0.0,0.0,27.67,2244993,0.29509,-0.00208
sphere,9.982,4.838,1.446,1.496,0.19,0.516,0.0,0.0,37.41,3691646,0.09869,-0.01592
suv,16.2,5.818,3.027,5.145,2.057,1.881,0.1,1.6,33.45,11352259,0.36901,0.16807
suv,15.874,5.736,2.969,4.815,1.813,1.749,2.3,7.6,44.3,14070218,0.36257,0.19564
sphere,7.244,0.628,1.044,0.485,0.102,0.428,0.0,0.0,46.76,1495950,0.09789,0.01431
wedge,5.978,1.107,0.473,0.569,1.132,0.32,0.0,35.2,30.9,1159769,0.65638,0.23519
cylinder,5.956,0.963,0.991,1.204,0.613,0.58,0.0,0.0,46.54,3696185,0.30517,-0.00162
ahmed_body,3.933,0.633,0.097,0.938,0.392,0.252,0.0,10.4,53.89,3334355,0.26115,0.06809
sphere,1.904,2.757,0.966,0.223,1.14,0.261,0.0,0.0,12.39,182254,0.45486,0.01208
ahmed_body,4.628,0.986,0.109,1.066,0.357,0.263,0.0,13.6,57.67,4055160,0.2547,0.04926
wedge,1.155,0.59,0.566,1.678,1.482,0.997,0.0,12.9,13.77,1524146,0.42657,0.10428
airfoil,1.365,0.279,0.167,0.588,0.872,0.202,0.0,5.1,36.22,1404839,0.00851,0.54806
airfoil,3.978,0.286,0.074,1.441,0.783,0.229,0.0,3.9,36.44,3463723,0.00705,0.40071
sphere,3.305,3.274,2.2,0.585,0.452,1.313,0.0,0.0,12.35,476567,0.14147,-0.00222
airfoil,3.973,0.38,0.187,0.595,1.766,0.14,0.0,7.3,32.47,1274383,0.01135,0.79867
wedge,4.944,1.767,1.301,1.6,0.824,0.787,0.0,28.1,21.62,2281794,0.58619,0.18454
fsae,7.568,1.374,1.463,3.616,1.338,1.242,18.2,0.8,28.24,6735873,0.87697,-2.21639
airfoil,2.097,0.117,0.08,1.892,1.282,0.196,0.0,11.4,42.92,5356507,0.03508,1.22439
fsae,6.873,1.533,1.474,4.019,1.474,1.085,21.1,4.9,45.11,11958911,0.86892,-2.3422
sedan,11.807,3.682,1.86,4.204,1.683,1.428,1.5,13.2,29.85,8277665,0.25932,0.15725
truck,51.741,41.268,9.666,15.758,2.487,4.142,0.0,0.4,27.71,28803046,0.73071,0.0893
wedge,5.33,0.797,0.963,1.756,1.463,0.264,0.0,36.5,19.57,2266815,0.67335,0.23312
sedan,8.112,3.62,2.326,4.983,1.846,1.365,1.2,13.6,46.69,15346720,0.25264,0.24741
suv,16.744,6.723,2.518,4.502,1.975,1.683,2.3,1.9,32.07,9523690,0.36141,0.16754
cylinder,7.789,0.762,1.285,2.539,0.205,0.931,0.0,0.0,41.25,6908559,0.28833,-0.0046
sedan,9.663,3.85,2.344,4.297,1.843,1.456,1.1,11.8,40.38,11445439,0.25749,0.19602
wedge,2.259,0.639,0.553,0.81,0.976,0.729,0.0,48.1,30.5,1629617,0.80738,0.26931
ahmed_body,3.916,0.967,0.091,0.932,0.36,0.278,0.0,18.1,28.05,1724446,0.27208,0.06324
flat_plate,1.658,0.047,2.357,0.02,1.746,1.449,0.0,0.0,11.28,14881,1.2495,0.00177
fsae,7.27,1.074,1.055,3.927,1.578,1.109,43.5,2.7,37.16,9625813,1.0092,-3.26418
truck,41.042,22.499,7.64,11.447,2.418,3.801,0.0,3.5,24.27,18325771,0.72934,0.06704
fsae,6.534,1.533,1.038,4.078,1.416,1.02,21.2,4.9,49.75,13382619,0.84621,-2.28425
airfoil,1.399,0.388,0.025,0.586,0.477,0.072,0.0,3.5,41.48,1603383,0.00723,0.36904
airfoil,2.691,0.473,0.191,1.988,0.758,0.152,0.0,6.9,34.77,4559549,0.01088,0.71167
sphere,2.142,3.954,0.474,0.724,1.404,0.578,0.0,0.0,36.55,1745528,0.09983,0.00532
wedge,3.047,1.692,0.408,0.767,1.431,0.576,0.0,38.4,31.77,1607361,0.67437,0.2402
fsae,8.433,0.971,1.215,3.337,1.672,1.233,30.0,1.5,39.68,8734311,0.91375,-2.70933
airfoil,0.818,0.164,0.129,0.622,0.936,0.03,0.0,2.1,21.08,864892,0.00644,0.22969
ahmed_body,4.985,0.795,0.088,1.173,0.392,0.262,0.0,0.4,21.11,1633379,0.24995,0.03202
truck,44.256,29.909,7.827,15.548,2.481,3.576,0.0,2.9,31.49,32295945,0.66036,0.08152
fsae,7.425,0.958,1.039,3.694,1.478,1.195,19.2,3.2,45.67,11128297,0.85128,-2.25619
ahmed_body,4.618,0.863,0.097,1.174,0.351,0.263,0.0,1.0,40.45,3132474,0.24778,0.01744
sphere,5.828,3.943,1.526,1.181,1.235,1.166,0.0,0.0,46.18,3597532,0.0983,0.004
wedge,4.957,0.678,1.398,0.602,1.5,0.544,0.0,46.7,40.64,1613805,0.78523,0.27718
suv,17.168,4.142,3.091,5.191,1.915,1.89,1.0,1.2,28.02,9594447,0.36609,0.1437
fsae,6.514,0.93,1.468,3.887,1.629,1.062,32.4,4.9,46.54,11932782,0.95222,-2.74859
ahmed_body,3.683,0.719,0.096,0.901,0.379,0.264,0.0,30.8,34.34,2040920,0.32351,0.11138
suv,13.428,6.488,2.741,4.922,1.911,1.703,2.2,7.0,37.45,12158898,0.37694,0.1537
airfoil,1.915,0.221,0.192,1.805,1.009,0.053,0.0,9.5,21.84,2600343,0.015,1.01493
cylinder,2.041,0.913,1.465,2.919,0.724,0.783,0.0,0.0,5.45,1049377,0.29794,0.01213
sedan,9.984,2.688,1.841,4.968,1.73,1.397,1.9,10.5,29.54,9680391,0.26663,0.16463
sedan,9.202,2.71,2.274,4.135,1.841,1.353,1.8,19.9,21.81,5948836,0.30874,0.19191
sedan,9.265,3.488,2.052,4.543,1.648,1.409,0.9,13.4,46.5,13934664,0.2601,0.24112
cylinder,2.752,1.786,1.91,0.596,0.715,0.331,0.0,0.0,13.9,546464,0.30427,-0.00119
sedan,10.957,3.645,2.07,4.665,1.687,1.38,0.7,10.0,24.94,7674479,0.25664,0.13192
wedge,5.48,0.513,0.472,1.907,0.527,0.923,0.0,42.1,47.38,5960004,0.70073,0.26387
airfoil,1.48,0.338,0.2,0.866,1.357,0.09,0.0,8.5,36.06,2059892,0.01324,0.9175
wedge,5.237,0.369,1.034,2.244,0.857,0.629,0.0,26.4,27.9,4129789,0.56343,0.19227
ahmed_body,3.697,0.605,0.105,0.98,0.378,0.286,0.0,30.2,55.64,3596781,0.3152,0.10086
suv,15.012,6.744,3.167,5.092,2.049,1.891,0.9,0.3,33.2,11151346,0.36807,0.17573
ahmed_body,4.198,0.948,0.081,0.906,0.387,0.275,0.0,11.4,38.2,2282929,0.27128,0.06034
fsae,6.696,1.508,1.575,4.406,1.354,1.035,21.0,3.8,16.47,4786730,0.90064,-2.38678
fsae,5.727,1.19,1.088,3.361,1.463,1.207,18.0,4.0,40.96,9080908,0.85876,-2.2051
sedan,11.286,3.973,2.328,4.885,1.676,1.385,3.2,18.6,29.99,9663664,0.29933,0.17936
wedge,2.818,1.011,0.267,1.005,1.384,0.532,0.0,28.2,25.86,1714334,0.59333,0.21176
airfoil,1.816,0.101,0.098,0.976,1.075,0.074,0.0,7.7,56.94,3665794,0.01196,0.86079
ahmed_body,4.439,0.651,0.105,0.915,0.412,0.291,0.0,4.5,44.57,2690076,0.26135,0.01832
wedge,1.076,0.537,0.799,1.757,1.001,0.446,0.0,53.4,15.56,1803359,0.82865,0.34009
flat_plate,3.911,0.033,2.481,0.042,0.595,1.736,0.0,0.0,25.6,70923,1.20241,-0.00643
sedan,9.581,4.128,1.889,4.669,1.725,1.47,1.0,14.7,29.66,9134732,0.25156,0.15247
suv,14.531,6.055,2.682,4.556,2.072,1.828,0.4,6.8,27.96,8402755,0.37498,0.1495
airfoil,1.945,0.051,0.064,0.949,1.262,0.085,0.0,6.9,47.72,2987222,0.01061,0.8053
flat_plate,2.759,0.009,2.547,0.043,1.217,0.829,0.0,0.0,23.79,67478,1.24105,-0.00636
wedge,1.097,0.613,1.218,0.851,1.193,0.682,0.0,38.2,30.44,1708736,0.67252,0.24854
fsae,7.474,1.584,1.272,3.95,1.532,1.269,28.1,3.8,18.9,4924472,0.886,-2.61461
wedge,4.471,0.698,1.224,2.376,1.247,0.394,0.0,28.9,37.2,5830290,0.57991,0.18348
ahmed_body,4.58,0.823,0.104,1.162,0.405,0.276,0.0,19.8,20.53,1573606,0.28085,0.09205
sedan,12.828,3.712,2.371,4.259,1.857,1.479,2.3,17.8,47.99,13482151,0.24354,0.2613
fsae,5.563,1.068,1.347,3.45,1.359,1.184,15.6,4.8,30.72,6991029,0.90021,-2.17615
sedan,8.811,3.267,1.962,4.937,1.628,1.374,0.8,19.4,31.54,10271305,0.29269,0.21001
suv,17.525,5.428,2.589,5.19,2.002,1.751,2.2,7.1,35.64,12201293,0.37402,0.17617
sedan,10.209,2.563,2.3,4.856,1.606,1.421,3.9,11.7,45.48,14568000,0.25548,0.22103
sedan,9.451,2.715,2.316,4.529,1.88,1.387,2.4,17.9,30.36,9069950,0.24011,0.19759
ahmed_body,3.643,0.745,0.109,0.905,0.355,0.29,0.0,15.5,50.57,3018856,0.2555,0.08484
fsae,8.284,1.46,1.21,4.274,1.627,1.055,30.8,0.2,19.42,5475005,0.94165,-2.81157
fsae,7.239,1.098,1.028,3.827,1.516,1.001,42.6,1.2,30.31,7651476,0.97552,-3.22498
fsae,6.855,1.539,1.5,3.46,1.653,1.277,16.6,3.4,32.81,7488298,0.86774,-2.12713
fsae,5.903,1.528,1.093,3.234,1.378,1.217,42.9,1.3,29.24,6237609,0.97944,-3.35171
truck,34.571,24.913,7.499,11.576,2.511,3.673,0.0,0.3,22.96,17531989,0.69316,0.09483
sedan,11.87,3.37,2.297,4.207,1.655,1.437,3.2,13.5,42.46,11782930,0.24569,0.21884
ahmed_body,3.649,0.929,0.087,0.994,0.403,0.276,0.0,22.4,41.18,2700061,0.28426,0.08638
fsae,8.368,1.2,1.105,3.906,1.368,1.014,26.1,0.6,28.88,7440982,0.90753,-2.54491
fsae,5.813,1.521,1.244,4.386,1.474,1.26,23.4,4.0,38.8,11225383,0.92169,-2.48323
truck,52.198,40.634,6.256,8.276,2.591,3.983,0.0,2.4,30.16,16464654,0.65515,0.10012
fsae,7.119,1.211,1.048,4.132,1.658,1.184,15.9,4.1,35.09,9564108,0.82728,-1.9999
sedan,10.621,3.513,1.887,4.933,1.765,1.322,1.9,11.8,39.19,12752261,0.25522,0.19689
fsae,7.312,1.197,1.552,4.362,1.527,1.157,32.5,1.8,17.73,5101468,0.95969,-2.87664
airfoil,1.317,0.461,0.072,1.221,1.995,0.219,0.0,9.3,47.16,3798309,0.01562,1.00482
sedan,9.562,3.215,1.95,4.96,1.641,1.39,0.7,15.2,49.28,16123272,0.24254,0.25346
cylinder,2.198,2.266,0.417,2.223,0.156,0.783,0.0,0.0,11.91,1746433,0.29193,-0.00677
fsae,7.06,0.977,1.414,4.091,1.348,1.157,17.6,2.2,25.79,6959557,0.89644,-2.2248
wedge,1.276,0.554,0.697,1.351,0.85,0.819,0.0,10.4,39.24,3496916,0.39849,0.11011
ahmed_body,4.939,0.767,0.114,1.092,0.352,0.285,0.0,13.6,36.65,2639960,0.25867,0.05758
airfoil,3.295,0.226,0.16,0.608,1.438,0.176,0.0,0.4,21.01,842617,0.00593,0.03092
fsae,7.819,1.453,1.035,3.774,1.588,1.201,38.5,0.6,33.69,8386943,0.96903,-2.99416
sedan,8.473,3.8,1.898,4.561,1.633,1.493,5.0,15.1,49.27,14823250,0.24793,0.24881
suv,16.668,4.868,2.998,5.161,1.935,1.879,0.9,7.1,44.17,15037030,0.36886,0.19581
wedge,5.727,1.911,1.388,1.976,1.322,0.927,0.0,18.5,29.83,3888132,0.46845,0.128
ahmed_body,4.408,0.851,0.085,1.15,0.387,0.26,0.0,2.4,36.35,2757421,0.25419,0.0282
suv,14.88,4.748,2.988,4.598,1.965,1.695,0.8,7.0,23.29,7063814,0.36942,0.14652
fsae,6.755,1.159,1.332,3.489,1.413,1.148,18.5,0.5,32.6,7502731,0.88877,-2.32234
sedan,8.546,3.108,2.176,4.647,1.886,1.45,4.6,19.8,28.3,8674809,0.30775,0.18997
cylinder,5.313,2.469,0.811,1.438,0.333,0.49,0.0,0.0,22.17,2102933,0.29764,0.00888
wedge,2.304,1.972,1.433,1.861,1.049,0.484,0.0,16.5,31.99,3927005,0.45451,0.12938
truck,49.239,31.864,9.578,15.37,2.573,3.803,0.0,3.3,33.96,34430422,0.66769,0.07743
wedge,4.001,1.066,0.736,2.043,0.367,0.466,0.0,44.9,13.03,1755956,0.73126,0.26897
cylinder,6.51,2.625,0.193,1.129,0.978,0.859,0.0,0.0,31.71,2361516,0.29267,0.00539
wedge,2.785,0.677,1.254,1.625,0.417,0.961,0.0,56.5,32.02,3432223,0.8579,0.33096
airfoil,1.176,0.353,0.093,1.633,0.683,0.143,0.0,9.8,64.41,6938096,0.01529,1.0586
